国家,本周新增死亡人数
美国,13086.0
英国,7812.0
巴西,2734.0
意大利,2326.0
西班牙,2198.0
法国,2146.0
加拿大,1131.0
德国,966.0
比利时,848.0
厄瓜多尔,795.0
墨西哥,751.0
土耳其,630.0
荷兰,578.0
俄罗斯,541.0
伊朗,506.0
其他,4121.0
