国家,检测率
各国平均,0.0068961058796505265
阿联酋,0.12133
巴林,0.081897
卢森堡,0.075817
以色列,0.04506
科威特,0.041915
葡萄牙,0.04186
丹麦,0.038312
意大利,0.034879
爱尔兰,0.034302
卡塔尔,0.033921
西班牙,0.032699
挪威,0.031835
瑞士,0.031372
德国,0.0304
奥地利,0.029936
俄罗斯,0.027036
新加坡,0.0246
澳大利亚,0.023984
捷克,0.023702
比利时,0.02252
加拿大,0.022051
美国,0.02087
白俄罗斯,0.020682
芬兰,0.018373
法国,0.016856
英国,0.016644
哈萨克斯坦,0.015065
荷兰,0.013184
土耳其,0.013177
韩国,0.012153
瑞典,0.011833
塞尔维亚,0.01106
秘鲁,0.010785
智利,0.010431
罗马尼亚,0.009905
沙特阿拉伯,0.00976
波兰,0.009671
克罗地亚,0.009148
匈牙利,0.008235
阿曼,0.007923
亚美尼亚,0.00781
希腊,0.007503
巴拿马,0.007392
乌兹别克斯坦,0.007247
伊朗,0.005769
马来西亚,0.005692
厄瓜多尔,0.00419
南非,0.00389
加纳,0.003653
摩尔多瓦,0.002916
乌克兰,0.002807
多米尼加,0.002775
泰国,0.002551
伊拉克,0.002443
哥伦比亚,0.002141
巴西,0.001597
阿根廷,0.001413
日本,0.001377
摩洛哥,0.001067
菲律宾,0.00105
埃及,0.000879
巴基斯坦,0.000878
印度,0.000708
墨西哥,0.000707
孟加拉,0.000462
印度尼西亚,0.000395
阿富汗,0.000284
阿尔及利亚,0.000148
尼日利亚,8e-05
