国家,本周新增确诊人数
美国,200107.0
俄罗斯,53738.0
巴西,39259.0
英国,33759.0
西班牙,20493.0
秘鲁,18411.0
土耳其,15915.0
印度,14615.0
意大利,13042.0
加拿大,12830.0
沙特阿拉伯,9489.0
法国,9162.0
墨西哥,8246.0
德国,8070.0
伊朗,6943.0
其他,106354.0
