国家,本周新增确诊人数
美国,148546.0
巴西,121134.0
俄罗斯,61497.0
印度,47160.0
智利,29362.0
秘鲁,27136.0
墨西哥,21429.0
英国,18219.0
沙特阿拉伯,15108.0
伊朗,14508.0
巴基斯坦,13136.0
卡塔尔,12263.0
孟加拉,11810.0
土耳其,7431.0
加拿大,7196.0
其他,139701.0
