日期,新增确诊（左）,新增治愈（右）
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,44.0,1.0
2020-03-08,36.0,1.0
2020-03-09,10.0,0.0
2020-03-10,13.0,0.0
2020-03-11,4.0,0.0
2020-03-12,12.0,26.0
2020-03-13,44.0,10.0
2020-03-14,17.0,2.0
2020-03-15,85.0,0.0
2020-03-16,89.0,1.0
2020-03-17,57.0,5.0
2020-03-18,107.0,-5.0
2020-03-19,129.0,25.0
2020-03-20,157.0,15.0
2020-03-21,284.0,11.0
2020-03-22,109.0,35.0
2020-03-23,240.0,15.0
2020-03-24,380.0,20.0
2020-03-25,433.0,-23.0
2020-03-26,518.0,72.0
2020-03-27,545.0,-27.0
2020-03-28,567.0,45.0
2020-03-29,310.0,24.0
2020-03-30,584.0,28.0
2020-03-31,414.0,44.0
2020-04-01,579.0,83.0
2020-04-02,613.0,97.0
2020-04-03,641.0,68.0
2020-04-04,892.0,129.0
2020-04-05,672.0,107.0
2020-04-06,709.0,97.0
2020-04-07,688.0,86.0
2020-04-08,650.0,160.0
2020-04-09,800.0,253.0
2020-04-10,740.0,243.0
2020-04-11,706.0,480.0
2020-04-12,746.0,230.0
2020-04-13,867.0,464.0
2020-04-14,783.0,113.0
2020-04-15,918.0,274.0
2020-04-16,939.0,218.0
2020-04-17,1229.0,852.0
2020-04-18,1407.0,325.0
2020-04-19,1255.0,371.0
2020-04-20,963.0,507.0
2020-04-21,1120.0,516.0
2020-04-22,1401.0,386.0
2020-04-23,1276.0,495.0
2020-04-24,1422.0,1203.0
2020-04-25,1492.0,449.0
2020-04-26,1466.0,515.0
2020-04-27,1580.0,506.0
2020-04-28,1220.0,447.0
2020-04-29,1496.0,1234.0
2020-04-30,1882.0,701.0
2020-05-01,2178.0,554.0
2020-05-02,1695.0,810.0
2020-05-03,2245.0,783.0
2020-05-04,1652.0,485.0
2020-05-05,2411.0,991.0
2020-05-06,2131.0,614.0
2020-05-07,2309.0,1284.0
2020-05-08,2626.0,831.0
2020-05-09,3617.0,699.0
2020-05-10,3051.0,1708.0
2020-05-11,2555.0,1023.0
2020-05-12,2787.0,1151.0
2020-05-13,3444.0,1021.0
2020-05-14,2844.0,1205.0
2020-05-15,2986.0,1877.0
2020-05-16,2532.0,1252.0
2020-05-17,3732.0,2364.0
2020-05-18,3100.0,1786.0
2020-05-19,3248.0,1390.0
2020-05-20,3133.0,1859.0
2020-05-21,3628.0,2190.0
2020-05-22,5116.0,1356.0
2020-05-23,4177.0,2265.0
2020-05-24,3266.0,1124.0
2020-05-25,3814.0,2205.0
2020-05-26,4439.0,1567.0
2020-05-27,3479.0,1869.0
2020-05-28,5325.0,2460.0
2020-05-29,3664.0,1661.0
2020-05-30,6990.0,3895.0
2020-05-31,6004.0,2629.0
