日期,新增确诊（左）,新增治愈（右）
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,407.0,229.0
2020-03-08,511.0,14.0
2020-03-09,347.0,13.0
2020-03-10,256.0,62.0
2020-03-11,149.0,148.0
2020-03-12,348.0,-4.0
2020-03-13,221.0,46.0
2020-03-14,253.0,196.0
2020-03-15,375.0,236.0
2020-03-16,413.0,131.0
2020-03-17,480.0,306.0
2020-03-18,390.0,273.0
2020-03-19,449.0,162.0
2020-03-20,648.0,483.0
2020-03-21,1070.0,747.0
2020-03-22,273.0,4.0
2020-03-23,691.0,355.0
2020-03-24,759.0,292.0
2020-03-25,732.0,433.0
2020-03-26,984.0,285.0
2020-03-27,1029.0,504.0
2020-03-28,1139.0,499.0
2020-03-29,1501.0,442.0
2020-03-30,1425.0,365.0
2020-03-31,1238.0,393.0
2020-04-01,1938.0,343.0
2020-04-02,2185.0,464.0
2020-04-03,2671.0,537.0
2020-04-04,2069.0,389.0
2020-04-05,2080.0,523.0
2020-04-06,2408.0,369.0
2020-04-07,4250.0,759.0
2020-04-08,2885.0,558.0
2020-04-09,2989.0,540.0
2020-04-10,3688.0,739.0
2020-04-11,4321.0,898.0
2020-04-12,4225.0,900.0
2020-04-13,4896.0,1004.0
2020-04-14,5722.0,737.0
2020-04-15,5412.0,1190.0
2020-04-16,6027.0,866.0
2020-04-17,6530.0,1414.0
2020-04-18,7225.0,1263.0
2020-04-19,8008.0,1449.0
2020-04-20,9942.0,1117.0
2020-04-21,5923.0,1079.0
2020-04-22,9160.0,1676.0
2020-04-23,8120.0,1512.0
2020-04-24,8858.0,1776.0
2020-04-25,9539.0,2019.0
2020-04-26,9833.0,1536.0
2020-04-27,9845.0,1807.0
2020-04-28,9845.0,0.0
2020-04-29,9845.0,0.0
2020-04-30,9442.0,7311.0
2020-05-01,11292.0,12622.0
2020-05-02,13246.0,3205.0
2020-05-03,14246.0,3970.0
2020-05-04,15949.0,3839.0
2020-05-05,16874.0,4305.0
2020-05-06,15663.0,4127.0
2020-05-07,16739.0,4112.0
2020-05-08,17442.0,5103.0
2020-05-09,17023.0,5810.0
2020-05-10,17494.0,7608.0
2020-05-11,18330.0,5665.0
2020-05-12,17154.0,10033.0
2020-05-13,17517.0,6679.0
2020-05-14,18138.0,7891.0
2020-05-15,16189.0,8990.0
2020-05-16,17500.0,9058.0
2020-05-17,17304.0,10963.0
2020-05-18,17701.0,7996.0
2020-05-19,17434.0,7304.0
2020-05-20,19190.0,11227.0
2020-05-21,18350.0,13740.0
2020-05-22,19597.0,12654.0
2020-05-23,20220.0,13320.0
2020-05-24,20520.0,13411.0
2020-05-25,20006.0,9806.0
2020-05-26,19166.0,9664.0
2020-05-27,18577.0,17837.0
2020-05-28,19530.0,16130.0
2020-05-29,20406.0,13989.0
2020-05-30,22812.0,23053.0
2020-05-31,22714.0,15572.0
