日期,全球病死率
"2020-02-01",0.020903527470260606
"2020-02-02",0.02082374597330879
"2020-02-03",0.020655546935609
"2020-02-04",0.020063616344506974
"2020-02-05",0.019999292060458036
"2020-02-06",0.020301015050752536
"2020-02-07",0.02076402432029368
"2020-02-08",0.021657476224726285
"2020-02-09",0.0224458586157565
"2020-02-10",0.023659562600227765
"2020-02-11",0.024709141274238226
"2020-02-12",0.0209041327520183
"2020-02-13",0.021466627316360926
"2020-02-14",0.022748617343211937
"2020-02-15",0.024135436261033136
"2020-02-16",0.02488852744047786
"2020-02-17",0.025544856932435012
"2020-02-18",0.02675705552521876
"2020-02-19",0.02809560973028744
"2020-02-20",0.029149261863373375
"2020-02-21",0.030363955046912052
"2020-02-22",0.03138738370309784
"2020-02-23",0.03305032202553428
"2020-02-24",0.03367648532211201
"2020-02-25",0.034123175736834925
"2020-02-26",0.03422524157551381
"2020-02-27",0.034469820752090825
"2020-02-28",0.03455042816365366
"2020-02-29",0.03441618107168196
"2020-03-01",0.034564876406809934
"2020-03-02",0.03450985675153801
"2020-03-03",0.034619949883501124
"2020-03-04",0.03463365975566591
"2020-03-05",0.03468861936781248
"2020-03-06",0.03467149571693084
"2020-03-07",0.03448917621706338
"2020-03-08",0.03412625110738318
"2020-03-09",0.03493196074693392
"2020-03-10",0.03537960367158365
"2020-03-11",0.03617607990180418
"2020-03-12",0.03675152668728686
"2020-03-13",0.03709428129829984
"2020-03-14",0.03740542027789242
"2020-03-15",0.037327215444686576
"2020-03-16",0.038513915827079415
"2020-03-17",0.03936687642548982
"2020-03-18",0.040260604715896486
"2020-03-19",0.04091386794608179
"2020-03-20",0.04094791526385165
"2020-03-21",0.04178419687104551
"2020-03-22",0.0424355926130997
"2020-03-23",0.04354447431320073
"2020-03-24",0.043566590229417425
"2020-03-25",0.04467287809769578
"2020-03-26",0.04527200645275858
"2020-03-27",0.04509087176445765
"2020-03-28",0.04565416874062486
"2020-03-29",0.04626126509097092
"2020-03-30",0.04715139999193208
"2020-03-31",0.04811109716004745
"2020-04-01",0.0491944747253931
"2020-04-02",0.05025789116895981
"2020-04-03",0.05234583209124843
"2020-04-04",0.05371261162142108
"2020-04-05",0.05395156331457445
"2020-04-06",0.05464676014501836
"2020-04-07",0.055534874352365426
"2020-04-08",0.05749830364656283
"2020-04-09",0.058483025982129816
"2020-04-10",0.05979002502925721
"2020-04-11",0.060573310689105035
"2020-04-12",0.06117235596212939
"2020-04-13",0.06166548011878111
"2020-04-14",0.0621973272450088
"2020-04-15",0.06341065562422121
"2020-04-16",0.06482011716180557
"2020-04-17",0.06733802329049024
"2020-04-18",0.06881097983778972
"2020-04-19",0.0687450807075949
"2020-04-20",0.0686048156871884
"2020-04-21",0.0686827309496636
"2020-04-22",0.0694392950447926
"2020-04-23",0.069857955528449
"2020-04-24",0.07014368182935135
"2020-04-25",0.0697525633601308
"2020-04-26",0.06965421170399005
"2020-04-27",0.06960655903298035
"2020-04-28",0.06952775872667008
"2020-04-29",0.06984718965710379
"2020-04-30",0.07142789824772822
"2020-05-01",0.07136207392619842
"2020-05-02",0.07108815930692687
"2020-05-03",0.07089707210674133
"2020-05-04",0.0702534605882058
"2020-05-05",0.06978281827046708
"2020-05-06",0.06984901201285737
"2020-05-07",0.06989552469560686
"2020-05-08",0.06980001385346549
"2020-05-09",0.0694771985803794
"2020-05-10",0.06907632646040636
"2020-05-11",0.06860125376106548
"2020-05-12",0.06818189929427619
"2020-05-13",0.06804781054867216
"2020-05-14",0.06790092838211445
"2020-05-15",0.06759773197754539
"2020-05-16",0.06722164143128206
"2020-05-17",0.06676197461653531
"2020-05-18",0.06645773980707509
"2020-05-19",0.0659838299070229
"2020-05-20",0.06563014367882611
"2020-05-21",0.06525056639630179
"2020-05-22",0.06477333157501909
"2020-05-23",0.06436089869407133
"2020-05-24",0.063955110234248
"2020-05-25",0.06330544800058689
"2020-05-26",0.06281939155580422
"2020-05-27",0.0625110829559925
"2020-05-28",0.06227052078617208
"2020-05-29",0.06191841021217302
