日期,新增确诊人数,新增死亡人数
"2020-05-03",80733.0,4995.0
"2020-05-04",87400.0,3877.0
"2020-05-05",76459.0,3630.0
"2020-05-06",79101.0,5698.0
"2020-05-07",95674.0,6710.0
"2020-05-08",93767.0,6041.0
"2020-05-09",96660.0,5338.0
