国家,本周新增确诊人数
美国,193221.0
俄罗斯,73428.0
巴西,49499.0
英国,33910.0
印度,22436.0
秘鲁,21388.0
西班牙,17129.0
土耳其,13177.0
加拿大,11516.0
沙特阿拉伯,11335.0
墨西哥,10392.0
意大利,9757.0
伊朗,9045.0
智利,8964.0
法国,8733.0
其他,115864.0
