国家,本周新增病死人数
美国,7086.0
巴西,6674.0
墨西哥,2507.0
英国,1795.0
印度,1127.0
俄罗斯,1043.0
秘鲁,835.0
加拿大,728.0
意大利,656.0
法国,447.0
瑞典,395.0
伊朗,378.0
厄瓜多尔,374.0
智利,301.0
西班牙,282.0
其他,3810.0
